,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
804,17.0,11.3442268372,-38.5356254578,352.083465576,-39.2567405701,4.10793854925,15.942606926,85.8667373657,0.997445881367,6237.34960938,10.7651348114,10.1928405762,10.2399997711,9.77600002289,9.49300003052,2.0,14.7471475601,6.25,2.0,552.0,3.0
863,17.0,7.18880748749,-36.9891777039,349.447875977,-36.2831306458,6.21372003072,2.00103592873,3222.40820312,1.36399686337,6776.41650391,12.206366539,11.7583999634,11.7939996719,11.4239997864,11.220000267,2.0,13.9600715637,8.75,0.0,672.0,3.0
864,17.0,6.40802049637,-36.1827850342,349.256835938,-35.2735366821,3.46865517168,7.40287780762,727.207336426,1.76328277588,6397.34814453,10.0913724899,9.56744003296,9.60999965668,9.17899990082,8.92500019073,2.0,8.20673370361,6.94999980927,1.0,253.0,3.0
865,17.0,6.14850902557,-40.4752426147,346.36541748,-38.900062561,5.46802741231,15.2893762589,81.5204391479,1.08821189404,5861.37988281,13.5117044449,12.8313999176,12.8850002289,12.3520002365,12.015999794,4.0,8.49280452728,8.89999961853,0.0,163.0,3.0
918,17.0,3.09041309357,-36.971660614,345.945465088,-34.6752967834,6.86775588287,4.19087457657,1039.03674316,1.36015737057,6652.73095703,9.86414337158,9.39095973969,9.42800045013,9.04800033569,8.8360004425,4.0,49.0151138306,6.34999990463,1.0,503.0,3.0
981,17.0,23.8436794281,-17.0674934387,15.2148628235,-25.0238857269,2.8641016965,4.74163293839,7.70241737366,0.301923811436,3411.51416016,14.9989929199,12.7398900986,12.6398944855,11.4641008377,10.6982936859,2.0,17.083147049,3.70000004768,1.0,924.0,2.0
1018,17.0,27.1441078186,-21.5915470123,16.3560886383,-30.4220428467,2.6514922292,11.2009096146,3.68734884262,0.371936202049,3510.421875,15.1156129837,12.9519615173,12.8626422882,11.728471756,10.9444484711,2.0,9.83734130859,4.44999980927,2.0,113.0,2.0
1142,17.0,31.9945926666,-29.241645813,17.2553482056,-39.2041168213,2.51791457216,3.7627453804,381.121734619,0.915457844734,5701.64306641,11.4399585724,10.7261600494,10.7829999924,10.2100000381,9.83300018311,2.0,8.04377937317,6.30000019073,1.0,1162.0,3.0
1143,17.0,30.3491592407,-30.5667934418,14.8394870758,-39.7644882202,3.31168537279,18.4426364899,26.4996414185,0.838571250439,5223.9609375,11.676451683,10.7945203781,10.859000206,10.1630001068,9.67899990082,4.0,11.6505079269,5.84999990463,1.0,1275.0,2.0
1144,17.0,29.072681427,-29.5470466614,14.1495809555,-38.3596611023,6.28221702875,30.8659267426,10.1490478516,0.747108340263,5009.64306641,13.4423618317,12.4421625137,12.3965988159,11.7799949646,11.2200632095,4.0,15.5147848129,7.09999990463,1.0,1676.0,3.0
1145,17.0,29.7146244049,-30.990234375,13.9576873779,-39.8984909058,2.71332940755,5.91789293289,10.3117847443,0.40711376071,3572.33203125,15.5151557922,13.4114942551,13.325761795,12.2179698944,11.422826767,4.0,7.47098684311,5.19999980927,2.0,1381.0,3.0
1208,17.0,27.7956371307,-34.9589920044,9.60726737976,-42.6664810181,1.70284075786,0.919989824295,2762.25927734,0.998841702938,5727.95898438,9.85930538177,9.14856052399,9.20400047302,8.64400005341,8.28100013733,2.0,10.6594762802,4.94999980927,0.0,143.0,2.0
1253,17.0,27.0661830902,-38.0427131653,6.80211019516,-45.0676460266,3.11675519076,3.53305077553,16.5470981598,0.365613222122,3518.36523438,16.1341457367,13.9713344574,13.8832502365,12.7473983765,11.9591960907,2.0,8.34407806396,5.44999980927,2.0,935.0,3.0
1304,17.0,22.6118488312,-39.6694717407,1.41956007481,-44.7008857727,1.88440011333,13.3969221115,2.21308732033,0.318288087845,3431.9296875,14.124712944,11.8844051361,11.7845811844,10.6239843369,9.85567092896,2.0,9.0382270813,2.95000004768,1.0,769.0,2.0
